GBTB1.00
base:*d,d,s,"s","d","d","d","d","d","s","s",d,d,d,s,"s","s","s","s","s","d"
baseno,kind,name,"paper","图纸经验","建成经验","设计经验","基础评价","额外评价","室内空间","室外空间",upmoney,cx,cy,baseimg,"maskimg","workimg","map","cmd","basemat","basework"
1,0,标准小单间,"建筑图纸3×3",20,0,0,3,,"15,0,0,0","0,0,0,0",0,48,174,baseimg/3&3.ale,baseimg/3&3.gif,"baseimg/3&3wk.ale","room001","SetPut(3,3)","('木材',4,'石材',8,'铁块',2)",""
2,0,标准单间,"建筑图纸3×3",40,0,0,5,,"30,0,0,0","0,0,0,0",0,78,350,"baseimg/3&3.ale",baseimg/3&3_.gif,"baseimg/3&3wk.ale","room002","SetPut(3,3)","('木材',4,'竹材',3,'石材',20,'铁块',4)",""
3,0,标准大单间1,"建筑图纸3×5",120,0,0,7,,"70,0,0,0","0,0,0,0",0,90,407,baseimg/3&5.ale,baseimg/3&5.gif,"baseimg/3&5wk.ale","room003","SetPut(5,3)","('木材',7,'竹材',7,'石材',40,'铁块',8)",""
4,0,标准大单间2,"建筑图纸5×3",120,0,0,7,,"70,0,0,0","0,0,0,0",0,97,375,baseimg/5&3.ale,baseimg/5&3.gif,"baseimg/5&3wk.ale","room003","SetPut(3,5)","('木材',7,'竹材',7,'石材',40,'铁块',8)",""
5,0,标准大房间,建筑图纸5×5,500,0,0,10,,"120,0,0,0","0,0,0,0",0,90,376,baseimg/5&5.ale,baseimg/5&5.gif,"baseimg/5&5wk.ale","room004","SetPut(5,5)","('木材',7,'初级祝福木材',3,'竹材',7,'初级祝福竹材',3,'石材',20,'花岗岩石材',40,'铁块',8,'铜块',4)",""
6,0,标准小别墅1,"建筑图纸5×7",1800,0,0,14,,"180,0,0,0","0,0,0,0",0,93,393,baseimg/5&7.ale,"baseimg/5&7.gif","baseimg/5&7wk.ale","room005","SetPut(7,5)","('木材',7,'初级祝福木材',8,'竹材',7,'初级祝福竹材',8,'石材',20,'花岗岩石材',70,'铁块',8,'铜块',10)",""
7,0,标准小别墅2,"建筑图纸7×5",1800,0,0,14,,"180,0,0,0","0,0,0,0",0,88,361,baseimg/7&5.ale,"baseimg/7&5.gif","baseimg/7&5wk.ale","room005","SetPut(5,7)","('木材',7,'初级祝福木材',8,'竹材',7,'初级祝福竹材',8,'石材',20,'花岗岩石材',70,'铁块',8,'铜块',10)",""
8,0,标准别墅,"建筑图纸7×7",5000,0,0,20,,"250,0,0,0","0,0,0,0",0,61,355,baseimg/7&7.ale,"baseimg/7&7.gif","baseimg/7&7wk.ale","room006","SetPut(7,7)","('木材',7,'初级祝福木材',8,'中级祝福木材',10,'竹材',7,'初级祝福竹材',8,'中级祝福竹材',10,'石材',20,'花岗岩石材',20,'大理石板',95,'铁块',8,'铜块',10,'银块',9)",""
9,1,简单植物室,"建筑图纸3×3",20,0,0,3,,"8,0,0,0","0,10,0,0",0,48,174,baseimg/3&3.ale,baseimg/3&3.gif,"baseimg/3&3wk.ale","room001","SetPut(3,3)","('木材',4,'石材',8,'铁块',2)",""
10,1,小植物室,"建筑图纸3×3",40,0,0,5,,"15,0,0,0","0,15,0,0",0,78,350,"baseimg/3&3.ale",baseimg/3&3_.gif,"baseimg/3&3wk.ale","room002","SetPut(3,3)","('木材',4,'竹材',3,'石材',20,'铁块',4)",""
11,1,植物室1,"建筑图纸3×5",120,0,0,7,,"35,0,0,0","0,35,0,0",0,90,407,baseimg/3&5.ale,baseimg/3&5.gif,"baseimg/3&5wk.ale","room003","SetPut(5,3)","('木材',7,'竹材',7,'石材',40,'铁块',8)",""
12,1,植物室2,"建筑图纸5×3",120,0,0,7,,"35,0,0,0","0,35,0,0",0,97,375,baseimg/5&3.ale,baseimg/5&3.gif,"baseimg/5&3wk.ale","room003","SetPut(3,5)","('木材',7,'竹材',7,'石材',40,'铁块',8)",""
13,1,中型植物室,建筑图纸5×5,500,0,0,10,,"60,0,0,0","0,60,0,0",0,90,376,baseimg/5&5.ale,baseimg/5&5.gif,"baseimg/5&5wk.ale","room004","SetPut(5,5)","('木材',7,'初级祝福木材',3,'竹材',7,'初级祝福竹材',3,'石材',20,'花岗岩石材',40,'铁块',8,'铜块',4)",""
14,1,大型植物室1,"建筑图纸5×7",1800,0,0,14,,"90,0,0,0","0,90,0,0",0,93,393,baseimg/5&7.ale,"baseimg/5&7.gif","baseimg/5&7wk.ale","room005","SetPut(7,5)","('木材',7,'初级祝福木材',8,'竹材',7,'初级祝福竹材',8,'石材',20,'花岗岩石材',70,'铁块',8,'铜块',10)",""
15,1,大型植物室2,"建筑图纸7×5",1800,0,0,14,,"90,0,0,0","0,90,0,0",0,88,361,baseimg/7&5.ale,"baseimg/7&5.gif","baseimg/7&5wk.ale","room005","SetPut(5,7)","('木材',7,'初级祝福木材',8,'竹材',7,'初级祝福竹材',8,'石材',20,'花岗岩石材',70,'铁块',8,'铜块',10)",""
