GBTB1.00
mapdata:"*d","s","s","s","d","s","d","s"
序号,系统名,显示名,地块代码,地块大小,图片,价格,地块类型
0,地形改造-草地01,绿草地形,草/绿草,1,item/地形.ale?f=3,25,草地
1,地形改造-草地02,中型绿草地形,草/绿草,3,item/地形.ale?f=3,203,草地
2,地形改造-草地03,大型绿草地形,草/绿草,5,item/地形.ale?f=3,500,草地
3,地形改造-耕地01,耕地地形,土/湿土,1,item/地形.ale?f=13,25,土地
4,地形改造-耕地02,中型耕地地形,土/湿土,3,item/地形.ale?f=13,203,土地
5,地形改造-耕地03,大型耕地地形,土/湿土,5,item/地形.ale?f=13,500,土地
6,地形改造-建筑地01,建筑地形,地/石板地,1,item/地形.ale?f=23,100,砖地
7,地形改造-建筑地02,中型建筑地形,地/石板地,3,item/地形.ale?f=23,810,砖地
8,地形改造-建筑地03,大型建筑地形,地/石板地,5,item/地形.ale?f=23,2000,砖地
9,地形改造-沙地01,沙地地形,土/沙地,1,item/地形.ale?f=33,25,土地
10,地形改造-沙地02,中型沙地地形,土/沙地,3,item/地形.ale?f=33,203,土地
11,地形改造-沙地03,大型沙地地形,土/沙地,5,item/地形.ale?f=33,500,土地
12,地形改造-石砖地01,石砖地形,地/灰砖地2,1,item/地形.ale?f=4,25,砖地
13,地形改造-石砖地02,中型石砖地形,地/灰砖地2,3,item/地形.ale?f=4,203,砖地
14,地形改造-石砖地03,大型石砖地形,地/灰砖地2,5,item/地形.ale?f=4,500,砖地
15,地形改造-水01,水面地形,水/河水,1,item/地形.ale?f=14,25,水面
16,地形改造-水02,中型水面地形,水/河水,3,item/地形.ale?f=14,203,水面
17,地形改造-水03,大型水面地形,水/河水,5,item/地形.ale?f=14,500,水面
18,地形改造-土地01,土地地形,土/干地,1,item/地形.ale?f=24,25,土地
19,地形改造-土地02,中型土地地形,土/干地,3,item/地形.ale?f=24,203,土地
20,地形改造-土地03,大型土地地形,土/干地,5,item/地形.ale?f=24,500,土地
21,地形改造-花丛01,花丛地形,花/绿花丛,1,item/地形.ale?f=3,25,花丛
22,地形改造-花丛02,中型花丛地形,花/绿花丛,3,item/地形.ale?f=3,203,花丛
23,地形改造-花丛03,大型花丛地形,花/绿花丛,5,item/地形.ale?f=3,500,花丛
24,地形改造-野花01,野花地形,花/绿野花,1,item/地形.ale?f=3,25,花丛
25,地形改造-野花02,中型野花地形,花/绿野花,3,item/地形.ale?f=3,203,花丛
26,地形改造-野花03,大型野花地形,花/绿野花,5,item/地形.ale?f=3,500,花丛
27,"地形改造-雪地01",雪地地形,雪/雪地,1,item/地形.ale?f=14,25,雪地
28,"地形改造-雪地02",中型雪地地形,雪/雪地,3,item/地形.ale?f=14,203,雪地
29,"地形改造-雪地03",大型雪地地形,雪/雪地,5,item/地形.ale?f=14,500,雪地
