GBTB1.00
mapsize:"*d","s","d","s"
"地形大小","适用等级",基础价格,地形描述
800,"3级以上庄园",6000,"地形面积800*800，适用于声望3级以上的庄园"
1080,"10级以上庄园",10000,"地形面积1080*1080，适用于声望10级以上的庄园"
1360,"20级以上庄园",12000,"地形面积1360*1360, 适用于声望20级以上的庄园"
1640,"30级以上庄园",26000,"地形面积1640*1640, 适用于声望30级以上的庄园"
1920,"40级以上庄园",36000,"地形面积1920*1920, 适用于声望40级以上的庄园"
2200,"50级以上庄园",46000,"地形面积2200*2200, 适用于声望50级以上的庄园"
2480,"60级以上庄园",60000,"地形面积2480*2480, 适用于声望60级以上的庄园"
2760,"70级以上庄园",74000,"地形面积2760*2760, 适用于声望70级以上的庄园"
3040,"80级以上庄园",90000,"地形面积3040*3040, 适用于声望80级以上的庄园"
3320,"90级以上庄园",106000,"地形面积3320*3320, 适用于声望90级以上的庄园"
3600,"100级以上庄园",126000,"地形面积3600*3600, 适用于声望100级以上的庄园"
3880,"100级以上庄园",152000,"地形面积3880*3880, 适用于声望100级以上的庄园"
4160,"100级以上庄园",174000,"地形面积4160*4160, 适用于声望100级以上的庄园"
4440,"100级以上庄园",190000,"地形面积4440*4440, 适用于声望100级以上的庄园"
4720,"100级以上庄园",206000,"地形面积4720*4720, 适用于声望100级以上的庄园"
5000,"100级以上庄园",226000,"地形面积5000*5000, 适用于声望100级以上的庄园"
